,Latitude,Blocked
0,-90,0.0
1,-89,13.111752727154448
2,-88,25.562121418536083
3,-87,43.557324497559854
4,-86,65.54764902373938
5,-85,89.03560290146523
6,-84,98.44767607805215
7,-83,111.73538862244277
8,-82,101.36345238114141
9,-81,142.63665948618547
10,-80,159.66056178927514
11,-79,147.4882845681364
12,-78,181.7436804019593
13,-77,186.0605117096022
14,-76,201.76251830894952
15,-75,206.63440170992473
16,-74,253.1245298377124
17,-73,234.24445501528393
18,-72,259.8117137108847
19,-71,253.10284988226834
20,-70,283.0523997807942
21,-69,276.12043596356
22,-68,299.3401852061487
23,-67,294.9932410542802
24,-66,287.2706535264823
25,-65,324.3759457391424
26,-64,295.6890674633879
27,-63,328.2402120155677
28,-62,369.2595600893659
29,-61,321.84982705557053
30,-60,358.0757079010805
31,-59,373.68020316578804
32,-58,330.58810918759696
33,-57,392.5470632314774
34,-56,404.19081480253425
35,-55,389.0901604100122
36,-54,422.90071328318805
37,-53,411.3483018522924
38,-52,431.65980300286554
39,-51,404.9802753560327
40,-50,448.46438557782255
41,-49,454.23438778887987
42,-48,456.57966785749926
43,-47,438.2389101979916
44,-46,469.19181231180806
45,-45,482.2161020890448
46,-44,481.7022774519717
47,-43,483.0343184701818
48,-42,462.2020460500199
49,-41,504.3509488815738
50,-40,530.2787862698748
51,-39,576.4912106464749
52,-38,550.7361343934577
53,-37,520.3517252991405
54,-36,569.2378277580121
55,-35,596.1243650539657
56,-34,580.9165386611176
57,-33,592.1957051095724
58,-32,577.0096232919998
59,-31,571.2426582132958
60,-30,581.0981527141147
61,-29,576.9037436884264
62,-28,598.5732953417697
63,-27,609.5994428168939
64,-26,621.0459423342968
65,-25,602.7466383004709
66,-24,624.2158684578748
67,-23,658.6027333508971
68,-22,652.4589376904049
69,-21,641.9854836845517
70,-20,662.6625715652096
71,-19,670.5695841089539
72,-18,640.3154486068288
73,-17,671.3361369300911
74,-16,683.8212387840754
75,-15,703.5923565444093
76,-14,676.7824260657112
77,-13,694.6803116696167
78,-12,728.4905414436063
79,-11,745.275382658247
80,-10,724.2909951408504
81,-9,761.2393257684972
82,-8,759.536754602642
83,-7,787.5929109554864
84,-6,773.6528611525613
85,-5,792.4014346058956
86,-4,838.1210034826448
87,-3,824.537816731745
88,-2,900.1532687320487
89,-1,1102.166996658843
90,0,9327.444258877855
91,1,1126.7048936546068
92,2,982.6346430757884
93,3,926.6640739834602
94,4,873.2199143639361
95,5,794.9724317665411
96,6,858.0562556299744
97,7,846.2138949886448
98,8,711.5914523564261
99,9,652.8494676777339
100,10,651.124214948954
101,11,650.3035753239078
102,12,632.2536069326809
103,13,595.550896306975
104,14,622.6218263089381
105,15,622.4365612351132
106,16,622.7826650842194
107,17,630.6125861619448
108,18,653.6814157743197
109,19,648.3917005047209
110,20,620.0226548991843
111,21,631.1409179525244
112,22,635.877875133003
113,23,634.1298116016266
114,24,619.6073755141412
115,25,620.5232970894331
116,26,629.7437078282909
117,27,594.3007286227449
118,28,596.8428730260011
119,29,585.0517236058263
120,30,567.5231080627257
121,31,560.3084647667894
122,32,551.4517990926408
123,33,527.8640398760507
124,34,502.2550044555635
125,35,513.5594049505227
126,36,533.113012338166
127,37,513.0420585323069
128,38,521.8059947397899
129,39,472.4985709410771
130,40,465.66644477262025
131,41,466.9688575953821
132,42,444.1221909839964
133,43,437.5897716213956
134,44,429.0099696405846
135,45,420.4482935241624
136,46,422.2440464955393
137,47,443.68633018074297
138,48,437.29187417098956
139,49,404.68392878171363
140,50,420.1580535244845
141,51,420.465256231476
142,52,450.86401092969237
143,53,409.72879948741246
144,54,402.6453667713111
145,55,415.84015598952095
146,56,390.2113468987837
147,57,353.92708203018015
148,58,354.6562522753844
149,59,351.3340818149052
150,60,334.7558948402729
151,61,335.5020277927954
152,62,330.52423247833246
153,63,308.88340434272425
154,64,314.2260432591527
155,65,289.970922671847
156,66,303.30680930500813
157,67,294.190048785335
158,68,290.04975887347763
159,69,285.9216498009509
160,70,264.5577822884458
161,71,267.2915245095838
162,72,253.22601529235072
163,73,263.95245596161766
164,74,246.7389590556027
165,75,230.11259799219795
166,76,200.06382433334022
167,77,179.53940081854694
168,78,213.50820767349833
169,79,142.34389931285307
170,80,148.6423948640722
171,81,163.31116257333935
172,82,128.5649467645577
173,83,108.9462672006552
174,84,86.72011257788853
175,85,74.79138752390236
176,86,73.78008706861837
177,87,49.91572263804786
178,88,35.330960717397716
179,89,14.248803386016242
